profile,rationing,hypothesis,day,launches_mean,launches_std,n
v1_original,off,H1,0,54.06,4.876,50
v1_original,off,H1,1,44.76,4.819,50
v1_original,off,H1,2,35.86,4.414,50
v1_original,off,H1,3,24.04,3.51,50
v1_original,off,H1,4,19.92,3.588,50
v1_original,off,H1,5,17.08,3.34,50
v1_original,off,H1,6,12.9,2.744,50
v1_original,off,H1,7,9.82,2.33,50
v1_original,off,H1,8,9.24,2.241,50
v1_original,off,H1,9,8.74,2.622,50
v1_original,off,H1,10,8.7,2.317,50
v1_original,off,H1,11,9.12,2.26,50
v1_original,off,H1,12,8.44,2.677,50
v1_original,off,H1,13,7.56,2.308,50
v1_original,off,H1,14,8.28,2.417,50
v1_original,off,H1,15,7.2,2.088,50
v1_original,off,H1,16,6.64,2.313,50
v1_original,off,H1,17,7.34,2.338,50
v1_original,off,H1,18,7.0,2.315,50
v1_original,off,H1,19,7.2,2.28,50
v1_original,off,H1,20,6.64,1.957,50
v1_original,off,H1,21,6.42,1.877,50
v1_original,off,H1,22,6.64,2.133,50
v1_original,off,H1,23,6.7,1.91,50
v1_original,off,H1,24,6.68,2.13,50
v1_original,off,H1,25,5.9,1.962,50
v1_original,off,H1,26,5.28,1.767,50
v1_original,off,H1,27,5.68,1.516,50
v1_original,off,H1,28,5.06,2.111,50
v1_original,off,H1,29,4.86,1.939,50
v1_original,off,H1,30,4.22,1.712,50
v1_original,off,H1,31,4.04,1.732,50
v1_original,off,H1,32,3.7,1.526,50
v1_original,off,H1,33,3.58,1.415,50
v1_original,off,H1,34,3.0,1.612,50
v1_original,off,H1,35,2.66,1.409,50
v1_original,off,H1,36,2.38,1.215,50
v1_original,off,H1,37,2.06,1.271,50
v1_original,off,H1,38,1.52,1.044,50
v1_original,off,H1,39,1.04,0.871,50
v1_original,off,H2,0,54.5,5.54,50
v1_original,off,H2,1,46.22,4.7,50
v1_original,off,H2,2,37.54,3.477,50
v1_original,off,H2,3,24.3,3.885,50
v1_original,off,H2,4,20.2,3.805,50
v1_original,off,H2,5,17.08,3.078,50
v1_original,off,H2,6,13.24,3.314,50
v1_original,off,H2,7,10.34,2.487,50
v1_original,off,H2,8,9.22,2.579,50
v1_original,off,H2,9,8.88,1.946,50
v1_original,off,H2,10,8.84,2.461,50
v1_original,off,H2,11,8.12,2.242,50
v1_original,off,H2,12,7.58,2.21,50
v1_original,off,H2,13,7.34,2.103,50
v1_original,off,H2,14,6.86,2.2,50
v1_original,off,H2,15,7.48,2.256,50
v1_original,off,H2,16,7.14,2.136,50
v1_original,off,H2,17,7.36,2.278,50
v1_original,off,H2,18,7.54,1.941,50
v1_original,off,H2,19,7.34,1.904,50
v1_original,off,H2,20,7.14,1.96,50
v1_original,off,H2,21,6.5,1.758,50
v1_original,off,H2,22,6.8,2.307,50
v1_original,off,H2,23,5.96,1.99,50
v1_original,off,H2,24,6.54,2.128,50
v1_original,off,H2,25,6.28,2.079,50
v1_original,off,H2,26,5.88,2.104,50
v1_original,off,H2,27,5.2,1.876,50
v1_original,off,H2,28,4.88,1.829,50
v1_original,off,H2,29,4.76,1.607,50
v1_original,off,H2,30,4.32,1.702,50
v1_original,off,H2,31,3.78,1.836,50
v1_original,off,H2,32,3.54,1.615,50
v1_original,off,H2,33,2.76,1.408,50
v1_original,off,H2,34,2.94,1.567,50
v1_original,off,H2,35,2.46,1.486,50
v1_original,off,H2,36,2.22,1.254,50
v1_original,off,H2,37,1.78,1.418,50
v1_original,off,H2,38,1.34,0.951,50
v1_original,off,H2,39,1.22,0.878,50
v1_original,off,H3,0,53.96,5.94,50
v1_original,off,H3,1,44.22,5.467,50
v1_original,off,H3,2,35.28,5.02,50
v1_original,off,H3,3,24.44,3.966,50
v1_original,off,H3,4,20.42,3.157,50
v1_original,off,H3,5,17.6,3.317,50
v1_original,off,H3,6,13.18,2.519,50
v1_original,off,H3,7,10.28,2.117,50
v1_original,off,H3,8,9.2,2.263,50
v1_original,off,H3,9,9.18,2.123,50
v1_original,off,H3,10,8.94,2.275,50
v1_original,off,H3,11,8.26,2.261,50
v1_original,off,H3,12,8.16,2.148,50
v1_original,off,H3,13,7.48,2.202,50
v1_original,off,H3,14,7.54,2.443,50
v1_original,off,H3,15,7.08,2.028,50
v1_original,off,H3,16,7.24,1.893,50
v1_original,off,H3,17,7.96,1.959,50
v1_original,off,H3,18,7.1,1.962,50
v1_original,off,H3,19,6.36,2.216,50
v1_original,off,H3,20,6.68,2.13,50
v1_original,off,H3,21,6.68,2.083,50
v1_original,off,H3,22,7.02,2.311,50
v1_original,off,H3,23,6.64,2.234,50
v1_original,off,H3,24,6.1,2.274,50
v1_original,off,H3,25,6.48,1.9,50
v1_original,off,H3,26,5.74,2.322,50
v1_original,off,H3,27,4.92,1.809,50
v1_original,off,H3,28,4.78,1.604,50
v1_original,off,H3,29,5.06,1.69,50
v1_original,off,H3,30,4.22,2.033,50
v1_original,off,H3,31,4.1,1.735,50
v1_original,off,H3,32,3.14,1.549,50
v1_original,off,H3,33,3.26,1.572,50
v1_original,off,H3,34,2.44,1.458,50
v1_original,off,H3,35,2.16,1.255,50
v1_original,off,H3,36,2.44,1.564,50
v1_original,off,H3,37,1.82,1.178,50
v1_original,off,H3,38,1.7,1.118,50
v1_original,off,H3,39,1.28,1.132,50
v1_original,individual,H1,0,54.0,5.43,50
v1_original,individual,H1,1,44.82,4.702,50
v1_original,individual,H1,2,35.42,4.639,50
v1_original,individual,H1,3,24.72,4.128,50
v1_original,individual,H1,4,20.14,3.237,50
v1_original,individual,H1,5,17.42,3.027,50
v1_original,individual,H1,6,13.28,2.458,50
v1_original,individual,H1,7,10.44,3.041,50
v1_original,individual,H1,8,9.68,2.345,50
v1_original,individual,H1,9,8.82,2.613,50
v1_original,individual,H1,10,8.74,2.038,50
v1_original,individual,H1,11,8.56,2.467,50
v1_original,individual,H1,12,8.1,2.147,50
v1_original,individual,H1,13,6.9,2.138,50
v1_original,individual,H1,14,7.66,2.016,50
v1_original,individual,H1,15,6.78,2.003,50
v1_original,individual,H1,16,7.14,1.96,50
v1_original,individual,H1,17,6.86,1.908,50
v1_original,individual,H1,18,6.44,2.07,50
v1_original,individual,H1,19,6.52,1.769,50
v1_original,individual,H1,20,6.56,2.128,50
v1_original,individual,H1,21,5.76,2.15,50
v1_original,individual,H1,22,6.12,2.438,50
v1_original,individual,H1,23,5.42,2.021,50
v1_original,individual,H1,24,5.26,2.038,50
v1_original,individual,H1,25,5.18,1.705,50
v1_original,individual,H1,26,4.84,1.848,50
v1_original,individual,H1,27,4.68,2.014,50
v1_original,individual,H1,28,4.44,1.779,50
v1_original,individual,H1,29,3.44,1.589,50
v1_original,individual,H1,30,3.42,1.909,50
v1_original,individual,H1,31,2.66,1.193,50
v1_original,individual,H1,32,2.64,1.466,50
v1_original,individual,H1,33,2.16,1.362,50
v1_original,individual,H1,34,2.12,1.437,50
v1_original,individual,H1,35,1.38,1.164,50
v1_original,individual,H1,36,1.48,1.204,50
v1_original,individual,H1,37,1.52,1.081,50
v1_original,individual,H1,38,0.98,0.948,50
v1_original,individual,H1,39,0.96,1.019,50
v1_original,individual,H2,0,53.24,4.99,50
v1_original,individual,H2,1,47.5,5.174,50
v1_original,individual,H2,2,36.98,4.802,50
v1_original,individual,H2,3,23.7,2.851,50
v1_original,individual,H2,4,20.26,4.093,50
v1_original,individual,H2,5,15.02,2.657,50
v1_original,individual,H2,6,13.04,3.053,50
v1_original,individual,H2,7,10.1,2.309,50
v1_original,individual,H2,8,9.44,2.434,50
v1_original,individual,H2,9,8.56,3.112,50
v1_original,individual,H2,10,8.52,2.385,50
v1_original,individual,H2,11,7.5,2.012,50
v1_original,individual,H2,12,7.9,2.138,50
v1_original,individual,H2,13,7.88,2.38,50
v1_original,individual,H2,14,7.72,2.2,50
v1_original,individual,H2,15,6.74,2.067,50
v1_original,individual,H2,16,7.18,1.894,50
v1_original,individual,H2,17,6.72,2.358,50
v1_original,individual,H2,18,6.48,1.931,50
v1_original,individual,H2,19,6.58,2.117,50
v1_original,individual,H2,20,6.26,1.863,50
v1_original,individual,H2,21,6.36,1.808,50
v1_original,individual,H2,22,6.0,2.154,50
v1_original,individual,H2,23,5.76,2.311,50
v1_original,individual,H2,24,5.74,1.598,50
v1_original,individual,H2,25,5.08,1.742,50
v1_original,individual,H2,26,4.86,1.778,50
v1_original,individual,H2,27,4.24,1.986,50
v1_original,individual,H2,28,3.7,1.616,50
v1_original,individual,H2,29,3.6,1.562,50
v1_original,individual,H2,30,3.16,1.689,50
v1_original,individual,H2,31,2.7,1.253,50
v1_original,individual,H2,32,2.64,1.213,50
v1_original,individual,H2,33,2.42,1.185,50
v1_original,individual,H2,34,1.96,1.483,50
v1_original,individual,H2,35,1.38,1.037,50
v1_original,individual,H2,36,1.38,1.093,50
v1_original,individual,H2,37,1.4,1.02,50
v1_original,individual,H2,38,1.14,0.895,50
v1_original,individual,H2,39,0.82,0.887,50
v1_original,individual,H3,0,54.36,5.11,50
v1_original,individual,H3,1,45.08,5.261,50
v1_original,individual,H3,2,35.7,4.139,50
v1_original,individual,H3,3,24.46,4.061,50
v1_original,individual,H3,4,20.22,3.276,50
v1_original,individual,H3,5,17.04,2.856,50
v1_original,individual,H3,6,13.98,2.956,50
v1_original,individual,H3,7,10.46,2.647,50
v1_original,individual,H3,8,8.86,2.332,50
v1_original,individual,H3,9,9.3,2.22,50
v1_original,individual,H3,10,8.6,2.425,50
v1_original,individual,H3,11,8.36,2.636,50
v1_original,individual,H3,12,7.38,2.366,50
v1_original,individual,H3,13,7.36,2.269,50
v1_original,individual,H3,14,7.14,2.298,50
v1_original,individual,H3,15,6.84,2.23,50
v1_original,individual,H3,16,7.48,2.476,50
v1_original,individual,H3,17,6.4,2.383,50
v1_original,individual,H3,18,6.26,2.512,50
v1_original,individual,H3,19,6.04,2.126,50
v1_original,individual,H3,20,6.22,2.033,50
v1_original,individual,H3,21,6.38,1.886,50
v1_original,individual,H3,22,6.12,1.681,50
v1_original,individual,H3,23,6.18,2.046,50
v1_original,individual,H3,24,5.28,2.06,50
v1_original,individual,H3,25,5.0,1.844,50
v1_original,individual,H3,26,4.76,1.893,50
v1_original,individual,H3,27,4.16,2.072,50
v1_original,individual,H3,28,4.24,1.477,50
v1_original,individual,H3,29,3.62,1.482,50
v1_original,individual,H3,30,3.22,1.527,50
v1_original,individual,H3,31,3.1,1.459,50
v1_original,individual,H3,32,2.38,1.294,50
v1_original,individual,H3,33,2.52,1.432,50
v1_original,individual,H3,34,2.34,1.227,50
v1_original,individual,H3,35,2.0,1.265,50
v1_original,individual,H3,36,1.66,1.29,50
v1_original,individual,H3,37,1.28,1.04,50
v1_original,individual,H3,38,1.16,0.946,50
v1_original,individual,H3,39,0.8,0.8,50
v1_original,coordinated,H1,0,54.24,5.409,50
v1_original,coordinated,H1,1,39.12,4.991,50
v1_original,coordinated,H1,2,27.38,4.467,50
v1_original,coordinated,H1,3,15.76,3.203,50
v1_original,coordinated,H1,4,12.94,3.397,50
v1_original,coordinated,H1,5,9.28,3.124,50
v1_original,coordinated,H1,6,6.62,2.306,50
v1_original,coordinated,H1,7,5.24,1.893,50
v1_original,coordinated,H1,8,4.3,2.022,50
v1_original,coordinated,H1,9,3.78,1.847,50
v1_original,coordinated,H1,10,3.6,2.107,50
v1_original,coordinated,H1,11,4.16,1.701,50
v1_original,coordinated,H1,12,3.14,1.721,50
v1_original,coordinated,H1,13,3.3,1.591,50
v1_original,coordinated,H1,14,2.88,1.395,50
v1_original,coordinated,H1,15,3.3,1.459,50
v1_original,coordinated,H1,16,2.98,1.619,50
v1_original,coordinated,H1,17,2.82,1.424,50
v1_original,coordinated,H1,18,3.12,1.681,50
v1_original,coordinated,H1,19,2.92,1.61,50
v1_original,coordinated,H1,20,2.6,1.371,50
v1_original,coordinated,H1,21,2.62,1.398,50
v1_original,coordinated,H1,22,2.7,1.459,50
v1_original,coordinated,H1,23,2.48,1.403,50
v1_original,coordinated,H1,24,2.86,1.575,50
v1_original,coordinated,H1,25,2.02,1.304,50
v1_original,coordinated,H1,26,2.4,1.249,50
v1_original,coordinated,H1,27,2.18,1.367,50
v1_original,coordinated,H1,28,1.94,1.271,50
v1_original,coordinated,H1,29,1.64,1.015,50
v1_original,coordinated,H1,30,1.76,1.258,50
v1_original,coordinated,H1,31,1.76,1.335,50
v1_original,coordinated,H1,32,1.14,0.849,50
v1_original,coordinated,H1,33,1.28,1.059,50
v1_original,coordinated,H1,34,0.98,0.99,50
v1_original,coordinated,H1,35,1.02,0.99,50
v1_original,coordinated,H1,36,0.68,0.882,50
v1_original,coordinated,H1,37,0.78,0.901,50
v1_original,coordinated,H1,38,0.74,0.687,50
v1_original,coordinated,H1,39,0.56,0.753,50
v1_original,coordinated,H2,0,52.98,4.752,50
v1_original,coordinated,H2,1,39.3,4.631,50
v1_original,coordinated,H2,2,27.42,4.196,50
v1_original,coordinated,H2,3,15.72,3.25,50
v1_original,coordinated,H2,4,12.32,2.853,50
v1_original,coordinated,H2,5,9.08,2.544,50
v1_original,coordinated,H2,6,6.88,2.075,50
v1_original,coordinated,H2,7,4.88,2.104,50
v1_original,coordinated,H2,8,4.1,1.857,50
v1_original,coordinated,H2,9,4.06,1.805,50
v1_original,coordinated,H2,10,3.96,2.2,50
v1_original,coordinated,H2,11,3.5,1.389,50
v1_original,coordinated,H2,12,3.92,1.73,50
v1_original,coordinated,H2,13,3.16,1.541,50
v1_original,coordinated,H2,14,2.92,1.412,50
v1_original,coordinated,H2,15,3.28,1.55,50
v1_original,coordinated,H2,16,2.7,1.552,50
v1_original,coordinated,H2,17,2.9,1.591,50
v1_original,coordinated,H2,18,3.14,1.575,50
v1_original,coordinated,H2,19,2.72,1.855,50
v1_original,coordinated,H2,20,2.84,1.759,50
v1_original,coordinated,H2,21,2.5,1.187,50
v1_original,coordinated,H2,22,2.66,1.505,50
v1_original,coordinated,H2,23,2.62,1.548,50
v1_original,coordinated,H2,24,2.74,1.262,50
v1_original,coordinated,H2,25,2.44,1.267,50
v1_original,coordinated,H2,26,2.24,1.258,50
v1_original,coordinated,H2,27,1.96,1.28,50
v1_original,coordinated,H2,28,2.0,1.296,50
v1_original,coordinated,H2,29,2.0,1.342,50
v1_original,coordinated,H2,30,1.92,1.278,50
v1_original,coordinated,H2,31,1.36,1.213,50
v1_original,coordinated,H2,32,1.16,0.987,50
v1_original,coordinated,H2,33,1.32,1.174,50
v1_original,coordinated,H2,34,1.16,0.987,50
v1_original,coordinated,H2,35,1.08,0.997,50
v1_original,coordinated,H2,36,0.86,0.749,50
v1_original,coordinated,H2,37,0.76,0.814,50
v1_original,coordinated,H2,38,0.56,0.753,50
v1_original,coordinated,H2,39,0.38,0.525,50
v1_original,coordinated,H3,0,54.56,4.9,50
v1_original,coordinated,H3,1,38.5,6.014,50
v1_original,coordinated,H3,2,28.02,3.977,50
v1_original,coordinated,H3,3,15.82,3.173,50
v1_original,coordinated,H3,4,12.32,3.283,50
v1_original,coordinated,H3,5,9.54,2.547,50
v1_original,coordinated,H3,6,7.14,2.392,50
v1_original,coordinated,H3,7,4.8,1.4,50
v1_original,coordinated,H3,8,4.1,1.868,50
v1_original,coordinated,H3,9,3.88,1.976,50
v1_original,coordinated,H3,10,3.84,1.579,50
v1_original,coordinated,H3,11,3.62,1.821,50
v1_original,coordinated,H3,12,3.26,1.895,50
v1_original,coordinated,H3,13,3.48,1.403,50
v1_original,coordinated,H3,14,3.02,1.349,50
v1_original,coordinated,H3,15,2.9,1.539,50
v1_original,coordinated,H3,16,2.64,1.397,50
v1_original,coordinated,H3,17,3.02,1.655,50
v1_original,coordinated,H3,18,2.9,1.591,50
v1_original,coordinated,H3,19,2.8,1.428,50
v1_original,coordinated,H3,20,3.1,1.5,50
v1_original,coordinated,H3,21,2.8,1.575,50
v1_original,coordinated,H3,22,2.74,1.426,50
v1_original,coordinated,H3,23,2.58,1.343,50
v1_original,coordinated,H3,24,2.46,1.526,50
v1_original,coordinated,H3,25,2.32,1.593,50
v1_original,coordinated,H3,26,2.62,1.535,50
v1_original,coordinated,H3,27,2.08,1.246,50
v1_original,coordinated,H3,28,2.16,1.206,50
v1_original,coordinated,H3,29,1.88,1.492,50
v1_original,coordinated,H3,30,1.82,1.438,50
v1_original,coordinated,H3,31,1.54,1.153,50
v1_original,coordinated,H3,32,1.46,1.187,50
v1_original,coordinated,H3,33,1.44,1.267,50
v1_original,coordinated,H3,34,1.36,1.179,50
v1_original,coordinated,H3,35,1.16,1.007,50
v1_original,coordinated,H3,36,1.06,0.925,50
v1_original,coordinated,H3,37,0.86,0.895,50
v1_original,coordinated,H3,38,0.5,0.755,50
v1_original,coordinated,H3,39,0.58,0.751,50
v3_realistic,off,H1,0,53.54,6.824,50
v3_realistic,off,H1,1,52.9,4.623,50
v3_realistic,off,H1,2,51.26,4.399,50
v3_realistic,off,H1,3,44.96,5.169,50
v3_realistic,off,H1,4,41.72,5.333,50
v3_realistic,off,H1,5,39.2,5.628,50
v3_realistic,off,H1,6,35.52,6.129,50
v3_realistic,off,H1,7,34.2,5.119,50
v3_realistic,off,H1,8,29.88,4.376,50
v3_realistic,off,H1,9,30.82,4.572,50
v3_realistic,off,H1,10,30.1,4.691,50
v3_realistic,off,H1,11,28.58,4.592,50
v3_realistic,off,H1,12,28.04,4.313,50
v3_realistic,off,H1,13,27.2,4.28,50
v3_realistic,off,H1,14,26.1,4.579,50
v3_realistic,off,H1,15,25.24,4.412,50
v3_realistic,off,H1,16,25.26,3.735,50
v3_realistic,off,H1,17,23.36,4.232,50
v3_realistic,off,H1,18,22.78,4.415,50
v3_realistic,off,H1,19,22.34,4.306,50
v3_realistic,off,H1,20,22.2,3.633,50
v3_realistic,off,H1,21,20.54,3.568,50
v3_realistic,off,H1,22,21.52,3.551,50
v3_realistic,off,H1,23,20.6,4.804,50
v3_realistic,off,H1,24,19.58,3.731,50
v3_realistic,off,H1,25,19.34,3.302,50
v3_realistic,off,H1,26,19.62,3.919,50
v3_realistic,off,H1,27,17.52,3.041,50
v3_realistic,off,H1,28,17.0,3.555,50
v3_realistic,off,H1,29,15.62,3.117,50
v3_realistic,off,H1,30,15.22,4.134,50
v3_realistic,off,H1,31,14.24,3.755,50
v3_realistic,off,H1,32,12.46,3.106,50
v3_realistic,off,H1,33,10.24,2.79,50
v3_realistic,off,H1,34,9.66,3.089,50
v3_realistic,off,H1,35,8.64,2.415,50
v3_realistic,off,H1,36,7.34,2.346,50
v3_realistic,off,H1,37,6.14,2.307,50
v3_realistic,off,H1,38,5.22,2.564,50
v3_realistic,off,H1,39,4.86,2.28,50
v3_realistic,off,H2,0,54.04,5.314,50
v3_realistic,off,H2,1,50.78,5.661,50
v3_realistic,off,H2,2,50.6,5.418,50
v3_realistic,off,H2,3,45.04,5.173,50
v3_realistic,off,H2,4,41.86,4.821,50
v3_realistic,off,H2,5,39.46,4.64,50
v3_realistic,off,H2,6,34.08,4.812,50
v3_realistic,off,H2,7,33.4,4.499,50
v3_realistic,off,H2,8,29.68,4.306,50
v3_realistic,off,H2,9,29.6,4.72,50
v3_realistic,off,H2,10,29.18,4.832,50
v3_realistic,off,H2,11,28.26,3.492,50
